"dap","treat_desc","ratio"
3,"Rip+Mix (+Lime)",0.0578276683894595
6,"Rip+Mix (+Lime)",0.0731871258496494
11,"Rip+Mix (+Lime)",0.0736681223206234
16,"Rip+Mix (+Lime)",0.0657006289379787
21,"Rip+Mix (+Lime)",0.0811067977150126
23,"Rip+Mix (+Lime)",0.0970936984683906
26,"Rip+Mix (+Lime)",0.095174840199594
31,"Rip+Mix (+Lime)",0.0833908705950341
41,"Rip+Mix (+Lime)",0.08593073860392
51,"Rip+Mix (+Lime)",0.135992683993301
56,"Rip+Mix (+Lime)",0.148498277500992
61,"Rip+Mix (+Lime)",0.169708677380115
63,"Rip+Mix (+Lime)",0.154275279451458
66,"Rip+Mix (+Lime)",0.19181296182869
71,"Rip+Mix (+Lime)",0.201007029207281
76,"Rip+Mix (+Lime)",0.252297731787664
81,"Rip+Mix (+Lime)",0.296942899035589
83,"Rip+Mix (+Lime)",0.300489830059492
91,"Rip+Mix (+Lime)",0.34789488816782
96,"Rip+Mix (+Lime)",0.390455324208588
101,"Rip+Mix (+Lime)",0.359210405283711
111,"Rip+Mix (+Lime)",0.497727315936836
121,"Rip+Mix (+Lime)",0.490557187897925
126,"Rip+Mix (+Lime)",0.229076684125686
136,"Rip+Mix (+Lime)",0.556609156653401
141,"Rip+Mix (+Lime)",0.412656683422474
143,"Rip+Mix (+Lime)",0.165743470796371
146,"Rip+Mix (+Lime)",0.396421146420718
151,"Rip+Mix (+Lime)",0.514790535321846
156,"Rip+Mix (+Lime)",0.493860280016283
